ID,IRR 1,IRR 2,IRR 3,IRR 4,,Count,P_i,biased review,rule deficiencies,other,lack of knowledge,lack of review,strong now wrong,perceptual confusion,post completion,selectivity,overconfidence,complexity,sequencing issues,difficulties with exponents,,,,,,,,,
400,biased review,rule deficiencies,other,biased review,,4,0.17,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,rule deficiencies,other,rule deficiencies,rule deficiencies,,4,0.50,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,lack of knowledge,biased review,other,lack of review,,4,0.00,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787,biased review,rule deficiencies,rule deficiencies,rule deficiencies,,4,0.50,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,other,lack of knowledge,biased review,biased review,,4,0.17,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,lack of review,biased review,lack of review,strong now wrong,,4,0.17,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
918,biased review,biased review,biased review,lack of review,,4,0.50,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,perceptual confusion,perceptual confusion,perceptual confusion,perceptual confusion,,4,1.00,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,lack of review,perceptual confusion,lack of review,rule deficiencies,,4,0.17,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,strong now wrong,strong now wrong,biased review,perceptual confusion,,4,0.17,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,other,other,lack of knowledge,lack of knowledge,,4,0.33,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,lack of knowledge,other,other,lack of review,,4,0.17,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,lack of knowledge,rule deficiencies,rule deficiencies,lack of knowledge,,4,0.33,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,post completion,rule deficiencies,post completion,post completion,,4,0.50,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,biased review,other,other,biased review,,4,0.33,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,lack of review,rule deficiencies,lack of review,lack of review,,4,0.50,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,other,other,other,selectivity,,4,0.50,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
940,biased review,rule deficiencies,lack of review,biased review,,4,0.17,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,strong now wrong,strong now wrong,lack of review,strong now wrong,,4,0.50,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,other,other,lack of knowledge,overconfidence,,4,0.17,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
277,selectivity,other,other,lack of review,,4,0.17,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,strong now wrong,lack of knowledge,other,strong now wrong,,4,0.17,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,other,other,other,selectivity,,4,0.50,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
272,selectivity,post completion,lack of review,selectivity,,4,0.17,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,perceptual confusion,perceptual confusion,complexity,complexity,,4,0.33,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
770,biased review,other,biased review,biased review,,4,0.50,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,complexity,complexity,other,complexity,,4,0.50,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
766,biased review,rule deficiencies,rule deficiencies,biased review,,4,0.33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
