ID,IRR 1,IRR 2,IRR 3,IRR 4,,Count,P_i,biased review,rule deficiencies,overconfidence,other,lack of knowledge,perceptual confusion,strong now wrong,post completion,complexity,selectivity,,difficulties with exponents,,,,,,,,,,
400,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,rule deficiencies,rule deficiencies,rule deficiencies,rule deficiencies,,4,1.00,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,overconfidence,overconfidence,overconfidence,other,,4,0.50,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,overconfidence,overconfidence,overconfidence,rule deficiencies,,4,0.50,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
918,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,perceptual confusion,perceptual confusion,perceptual confusion,perceptual confusion,,4,1.00,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,rule deficiencies,rule deficiencies,rule deficiencies,rule deficiencies,,4,1.00,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,rule deficiencies,strong now wrong,rule deficiencies,strong now wrong,,4,0.33,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,lack of knowledge,other,lack of knowledge,strong now wrong,,4,0.17,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,other,overconfidence,other,other,,4,0.50,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,rule deficiencies,rule deficiencies,rule deficiencies,lack of knowledge,,4,0.50,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
